site_dist_id,drone_dist_id,run,opt_tour,opt_cost,anneal_tour,anneal_cost,xentropy_tour,xentropy_cost
0,0,0,"{0: [0, 3], 1: [1, 2]}",1.2642858669241601,"{0: [2, 1], 1: [3, 0]}",1.2642858669241601,"{0: [0, 1], 1: [0, 2, 3]}",2.0579186879023434
0,1,0,"{0: [0, 3], 1: [1], 2: [2]}",0.6205451619667747,"{0: [0, 3], 1: [2], 2: [1]}",0.6205451619667747,"{0: [0], 1: [0, 2, 3], 2: [0, 1]}",1.8653263526905313
1,0,0,"{0: [0, 1], 1: [2, 3]}",0.26130794640798677,"{0: [1, 0], 1: [2, 3]}",0.26130794640798677,"{0: [0, 3, 2], 1: [0, 1]}",0.41543724185635145
1,1,0,"{0: [3, 1, 2, 0]}",0.3313409202067544,"{0: [2, 0, 3, 1]}",0.33134092020675443,"{0: [0, 2, 1, 3]}",0.33134092020675443
2,0,0,"{0: [0, 1, 3, 2]}",0.29172348863811093,"{0: [1, 0, 2, 3]}",0.29172348863811093,"{0: [2, 1, 0, 3]}",0.45319008536854966
2,1,0,"{0: [0, 1], 1: [2, 3]}",0.30207269650430385,"{0: [0, 1], 1: [2, 3]}",0.30207269650430385,"{0: [0, 3, 1], 1: [0, 2]}",0.4322192032541625
