site_dist_id,drone_dist_id,run,opt_tour,opt_cost,anneal_tour,anneal_cost,xentropy_tour,xentropy_cost
0,0,0,"{0: [0], 1: [1, 4], 2: [2], 3: [3, 6], 4: [5], 5: [7]}",0.1873395419456199,"{0: [0], 1: [2], 2: [1, 4], 3: [6, 3], 4: [5], 5: [7]}",0.1873395419456199,"{0: [2], 1: [5, 3], 2: [5, 1], 3: [6, 7], 4: [2, 4], 5: [5, 0]}",1.8846080053331071
0,1,0,"{0: [0, 6], 1: [1, 5], 2: [2], 3: [3], 4: [4], 5: [7]}",0.29610495331179987,"{0: [7], 1: [3], 2: [4], 3: [1, 5], 4: [2], 5: [0, 6]}",0.29610495331179987,"{0: [1, 3, 7], 1: [6], 2: [1, 5], 3: [1, 2], 4: [6, 4, 0], 5: [6]}",1.4393443296622204
1,0,0,"{0: [0, 3], 1: [1, 4], 2: [2, 5, 6, 7]}",0.22595241696468715,"{0: [2, 5, 7, 6], 1: [0, 3], 2: [1, 4]}",0.22595241696468715,"{0: [7, 1, 4, 5], 1: [7], 2: [7, 2, 0, 3, 6]}",0.5762979139196556
1,1,0,"{0: [0, 7], 1: [1, 4], 2: [2], 3: [3], 4: [5, 6]}",0.04385031988137022,"{0: [1, 4], 1: [7, 2], 2: [3], 3: [6, 5], 4: [0]}",0.044991412096255755,"{0: [0], 1: [7, 3, 5, 6], 2: [7], 3: [7, 1, 2], 4: [0, 4]}",0.6354769350582087
2,0,0,"{0: [2, 4, 3, 1, 7, 0, 6, 5]}",1.0848174518356273,"{0: [2, 4, 3, 1, 7, 0, 6, 5]}",1.0848174518356273,"{0: [5, 0, 7, 3, 2, 4, 6, 1]}",1.6622947176148548
2,1,0,"{0: [0, 3, 7], 1: [1, 4], 2: [2, 5], 3: [6]}",0.18573167003695906,"{0: [0, 7, 3], 1: [6], 2: [5, 2], 3: [4, 1]}",0.18573167003695906,"{0: [3], 1: [3, 2, 5], 2: [3, 6], 3: [3, 4, 7, 1, 0]}",0.504951063694582
