site_dist_id,drone_dist_id,run,anneal_tour,anneal_cost,xentropy_tour,xentropy_cost
0,0,0,"{0: [4, 3, 2, 1, 0]}",2.2201466352329904,"{0: [4, 3, 1, 0, 2]}",2.4839797837886506
0,1,0,"{0: [4, 3, 2, 0, 1]}",2.2247520657873556,"{0: [4, 1, 3, 0, 2]}",2.6655483350353055
1,0,0,"{0: [1, 4, 2, 3, 0]}",0.7567714807060332,"{0: [3, 0, 1, 4, 2]}",0.7567714807060332
1,1,0,"{0: [2, 4], 1: [3], 2: [1, 0]}",0.24697333102782804,"{0: [3, 2, 4], 1: [3, 0], 2: [3, 1]}",0.8653497108147161
2,0,0,"{0: [3, 4, 0], 1: [1, 2]}",0.2751358153020349,"{0: [4, 3, 2, 0], 1: [4, 1]}",0.5746709817895047
2,1,0,"{0: [1, 3], 1: [4, 2, 0]}",0.5304117157485114,"{0: [3, 0, 4], 1: [3, 2, 1]}",0.830658070644552
