site_dist_id,drone_dist_id,run,anneal_tour,anneal_cost,xentropy_tour,xentropy_cost
0,0,0,"{0: [0, 6, 3, 9, 7, 1], 1: [2, 4, 8, 5, 10]}",1.5918520265448683,"{0: [9, 7, 2, 10, 3], 1: [9, 4, 1, 5, 8, 6, 0]}",2.3420782490466032
0,1,0,"{0: [3, 7], 1: [5, 1], 2: [10, 4], 3: [6, 9], 4: [8, 2, 0]}",0.9270020183082772,"{0: [3, 1, 6, 8, 10], 1: [2, 5, 4], 2: [2, 0], 3: [2, 7, 9], 4: [3]}",3.084522347521493
1,0,0,"{0: [3, 2, 1], 1: [5, 7], 2: [8, 4], 3: [10], 4: [0], 5: [9, 6]}",0.13619211224913327,"{0: [8, 5], 1: [8, 10, 1], 2: [8, 2, 6], 3: [8, 0, 9], 4: [7], 5: [8, 4, 3]}",0.4004988899857277
1,1,0,"{0: [10], 1: [9, 2], 2: [5, 8], 3: [0, 7, 4], 4: [1], 5: [3], 6: [6]}",0.1500755058302491,"{0: [7], 1: [1, 10, 2], 2: [1, 6, 3, 5], 3: [7, 8], 4: [1, 9, 4], 5: [1, 0], 6: [1]}",0.80520777702571
2,0,0,"{0: [5], 1: [2], 2: [7], 3: [3], 4: [6], 5: [5], 6: [10, 9], 7: [1, 4], 8: [8], 9: [0]}",0.10803690590953727,"{0: [4], 1: [7, 2], 2: [5], 3: [7, 0], 4: [7, 6], 5: [4, 8], 6: [5], 7: [5, 10], 8: [5, 3, 9], 9: [4, 1]}",0.7884955085567845
2,1,0,"{0: [6], 1: [0], 2: [2], 3: [5], 4: [7, 3], 5: [9, 10, 8], 6: [4, 1]}",0.21260898811325657,"{0: [2, 9], 1: [0, 10, 8], 2: [3, 7], 3: [3], 4: [3, 1, 6], 5: [0, 4], 6: [0, 5]}",0.6518603590704382
